ID do pacote,N.º Rota,Parada,Ponto,Data de Inbound,Altura,Largura,Comprimento,Localização do pacote,Detalhe do pacote
46689595961,A1_AM1,13,A,,20,13,34,Caminho para a estação,
46684765852,A1_AM1,48,A,,39,27,43,Caminho para a estação,
46686500212,A1_AM1,62,A,,63,11,48,Caminho para a estação,
46668514507,A2_AM1,36,B,,29,27,32,Caminho para a estação,
46602985263,A3_AM1,40,B,,60,30,80,Caminho para a estação,
46689909903,A5_AM1,7,A,,48,31,49,Caminho para a estação,
46676186282,A6_AM1,45,A,,10,3,15,Caminho para a estação,
46685415359,A6_AM1,53,A,,53,9,52,Caminho para a estação,
46639253246,A7_AM1,23,A,,22,21,27,Caminho para a estação,
46689152999,A7_AM1,80,A,,24,9,23,Caminho para a estação,
46684216901,A8_AM1,62,B,,19,14,30,Caminho para a estação,
46688395265,A10_AM1,61,A,,30,16,17,Caminho para a estação,
46659993067,A11_AM1,8,A,,35,31,165,Caminho para a estação,
46689287662,A12_AM1,30,A,,34,15,26,Caminho para a estação,
46674830209,B14_AM1,17,A,,18,3,6,Caminho para a estação,
46695133320,C1_AM1,12,A,,9,3,12,Caminho para a estação,
46684693759,C1_AM1,28,A,,32,30,36,Caminho para a estação,
46689597755,C1_AM1,28,A,,30,12,40,Caminho para a estação,
46688650773,C1_AM1,58,A,,31,6,31,Caminho para a estação,
46541318086,C2_AM1,60,A,,22,13,30,Caminho para a estação,
46694495189,C2_AM1,66,A,,27,24,31,Caminho para a estação,
46672817968,C3_AM1,25,A,,4,3,14,Caminho para a estação,
46683829624,C3_AM1,38,A,,40,10,13,Caminho para a estação,
46658615756,C4_AM1,12,A,,57,26,90,Caminho para a estação,
46675679794,C5_AM1,53,B,,24,14,42,Caminho para a estação,
46686148930,C5_AM1,84,A,,22,28,4,Caminho para a estação,
46694507775,C7_AM1,9,A,,6,2,8,Caminho para a estação,
46681311168,C7_AM1,36,A,,18,17,22,Caminho para a estação,
46685127208,C7_AM1,44,A,,19,15,26,Caminho para a estação,
46689382365,C8_AM1,36,A,,28,3,20,Caminho para a estação,
46698543524,C8_AM1,69,A,,34,15,54,Caminho para a estação,
46684719970,C10_AM1,6,A,,19,3,9,Caminho para a estação,
46687243204,C10_AM1,28,A,,25,12,35,Caminho para a estação,
46678759717,C11_AM1,1,A,,21,8,25,Caminho para a estação,
46652159713,C12_AM1,10,A,,19,2,11,Caminho para a estação,
46683381498,C12_AM1,61,A,,22,42,25,Caminho para a estação,
46638785605,C13_AM1,2,A,,56,21,113,Caminho para a estação,
46657115422,C13_AM1,36,A,,78,42,60,Caminho para a estação,
46662344147,C13_AM1,53,A,,31,30,76,Caminho para a estação,
46678975495,C13_AM1,60,A,,76,14,121,Caminho para a estação,
46663002625,C14_AM1,54,A,,11,4,26,Caminho para a estação,
46625000430,D13_AM1,18,A,,34,4,28,Caminho para a estação,
46639896524,F13_AM1,16,A,,15,3,21,Caminho para a estação,
46685359149,F6_AM1,20,A,,24,3,27,Caminho para a estação,
46688761438,F6_AM1,69,A,,20,4,13,Caminho para a estação,
46688575540,G6_AM1,44,A,,24,19,29,Caminho para a estação,
46681601228,H7_AM1,6,A,,19,3,25,Caminho para a estação,
46687530823,I1_AM1,32,A,,18,13,13,Caminho para a estação,
46677943028,I1_AM1,40,A,,21,7,20,Caminho para a estação,
46663412686,I1_AM1,42,A,,24,11,11,Caminho para a estação,
46683539366,I6_AM1,1,B,,22,4,18,Caminho para a estação,
46685227773,I6_AM1,34,A,,24,6,24,Caminho para a estação,
46696332226,I8_AM1,1,A,,4,2,7,Caminho para a estação,
46688513645,I8_AM1,23,A,,21,21,21,Caminho para a estação,
46659027816,I11_AM1,9,A,,7,7,13,Caminho para a estação,
46586131163,I11_AM1,32,B,,21,14,30,Caminho para a estação,
46675789593,I13_AM1,50,A,,31,8,23,Caminho para a estação,
46680869677,J2_AM1,79,B,,40,13,31,Caminho para a estação,
46675153391,K1_AM1,43,A,,14,35,20,Caminho para a estação,
46688021071,K4_AM1,4,B,,26,7,44,Caminho para a estação,
